RA,DEC,SEP,VEL_DISP,z
321.059626595604,-0.79024051853162,5.062604216205739e-05,225.71777,0.21092075
321.035145228931,-0.614583180446535,6.127382355435235e-05,166.76456,0.48061615
320.997773683295,-0.314900274784032,2.7763329375737742e-05,338.4434,0.58874017
320.932561544681,-0.17882177028321,2.9474690833796052e-05,263.5986,0.4456114
321.022886847565,-0.103389547302212,2.8456074045203908e-05,169.0585,0.502737
320.997798877774,-0.0372596760853058,4.216580827192047e-05,274.21353,0.52625185
320.815401259487,-1.2295124756664,6.123728114422431e-05,277.3591,0.4705452
320.766135402242,-1.19515538372291,3.679366010458353e-05,226.08456,0.33393523
320.78545427959,-1.09017815948152,6.568004127807182e-05,131.00555,0.5491348
320.874890600155,-0.569594792707598,3.554266630223029e-05,175.13849,0.5232526
330.780948455381,-1.10075390626385,2.1630761068305445e-05,177.0809,0.5417077
330.685438836687,-0.686807915989225,6.923865013180412e-05,198.10638,0.23568276
330.602780214777,-0.0917069394641501,3.715620895825748e-05,327.4468,0.60141927
330.653123958412,-1.19190635811665,3.078742578180826e-05,251.12018,0.58552974
330.691985768922,-1.09374479358032,1.7569065861816998e-05,223.92044,0.6592519
330.463395483507,-0.861022633224768,4.5721886903209794e-05,175.96028,0.36911342
330.583688044818,-0.864452264680285,4.561523941614909e-05,268.60342,0.4865527
321.616547840393,0.593827839495432,1.8505924821581627e-05,181.41241,0.60117143
321.568253800752,0.243996267923332,2.7648497089680236e-05,260.87042,0.50718045
321.868424335888,1.0947541230016,5.1082982740725396e-05,131.46675,0.45211822
321.790187731708,0.978952264647952,4.0077083486357106e-05,282.28436,0.45859486
321.764961771289,0.831151656158417,2.1521076484725714e-05,240.29999,0.4207091
321.839111321533,0.793669647754106,3.038538186500199e-05,180.2435,0.30518863
321.963185251492,0.358517889747079,5.911077770372719e-05,205.15674,0.5110335
322.082060794656,0.420306892666023,1.9589425195081338e-05,285.52713,0.48377523
344.693861702352,-0.0656329646509728,6.600224115571563e-05,182.04903,0.4556101
344.903999920384,0.608102243050415,4.801288573665505e-05,245.09738,0.50143546
344.85046056883,-6.38420694157831e-05,5.942446205548055e-05,189.8388,0.5110012
344.954173816271,1.2431361105271,7.028129372224477e-05,356.79846,0.6179546
39.1049769990842,-0.727035595333255,4.9864108132689105e-05,215.66658,0.54880595
39.0581018144991,-0.371254521236807,5.1033681570569634e-05,211.38152,0.5577183
38.7379792768567,-0.228967128956112,5.318765234830994e-05,212.12776,0.61026406
357.993619943163,-1.83246424371285,4.84937424207834e-05,189.38847,0.19450907
358.001990487763,-1.91809152873217,4.197623146042035e-05,271.3705,0.32531083
358.020278279973,-1.84070929981244,3.890554233625045e-05,243.07278,0.42885962
357.956372650284,-2.18004188022233,3.980797130415559e-05,208.4614,0.31827578
358.135393408523,-1.06812094753762,3.787811562330103e-05,333.9127,0.52945936
358.20855111775,-1.67145058884035,5.404541594548479e-05,223.02061,0.4397071
358.239533858109,-1.69162091476078,4.414875044586893e-05,175.2956,0.5058598
358.149557733092,-1.86393636713621,2.3486878582477765e-05,220.05493,0.30273402
319.942830492122,0.610344119857947,3.670137657132266e-05,200.11818,0.27724245
319.86441035165,0.501250203593071,3.2255509827644954e-05,442.2563,0.27258658
23.7741890447038,-3.00024210334285,4.265056071049485e-05,272.25998,0.4764349
23.7415033734299,-2.9906504668885,6.524656214187484e-05,245.595,0.15692021
23.7659351030273,-2.83254324782703,7.629016752483231e-05,279.91367,0.5075952
23.7994860169761,-2.77859410828982,7.270355857128788e-05,167.32332,0.4508361
23.7596710532353,-2.85378029869513,7.374937834047839e-05,187.86285,0.43398878
23.1424099405151,-3.07760642351806,7.223221670019752e-05,344.8342,0.4515704
321.223798401647,1.03794365733618,3.469663801560859e-05,185.82333,0.3307577
321.100147136226,0.761625068222238,4.926151941456995e-05,222.45631,0.5490462
321.19093573723,0.692929131700771,4.4088232134225676e-05,217.95161,0.5422971
321.168468950978,0.329496248951717,3.564119846601171e-05,162.40784,0.23388952
321.235636093925,0.325183611822336,7.164032772525382e-05,181.29639,0.5065487
321.24743039259,0.116183352244252,2.347552718228119e-05,220.32666,0.514701
321.356295117424,0.176014080331278,2.5541355349223105e-05,264.2142,0.5053091
321.353562167852,1.11882876146488,4.8041164261000624e-05,217.87216,0.26204765
321.427677032706,1.04860553454492,5.432642403088594e-05,119.05745,0.13735217
321.479444981888,0.298791624233994,3.0194134759362844e-05,211.17992,0.61782825
321.454983303078,0.264582304822302,0.00011479855947577062,224.16011,0.5542706
357.376729796848,-1.38896000234037,5.033181829652265e-05,188.51929,0.50419873
357.416106067392,-1.37670921475522,5.299371158371359e-05,348.26505,0.54575264
357.598711675875,-1.37591487653897,7.82086782213564e-05,268.3643,0.44571868
357.612067904763,-1.53182364483038,2.8000246508068864e-05,362.7881,0.57648814
