COADD_OBJECT_ID,RA,DEC,SOF_CM_G_1,SOF_CM_G_2,Z,VEL_DISP,ID
112749177,346.28493900,-0.78633600,0.12278618,-0.05897559,0.49086568,182.44504000,112749177
323145024,42.58314000,-3.44582500,0.07471037,0.07840086,0.28615353,199.84485000,323145024
133543870,38.48437900,1.62790500,0.10561879,-0.01370459,0.22639035,237.38490000,133543870
95584098,339.91797400,-0.30085000,0.05158342,-0.32608377,0.23367009,246.88408000,95584098
211220386,325.46850500,0.15692500,0.09456613,-0.19443034,0.41766536,239.58270000,211220386
114217554,36.27365400,-3.96363100,0.17007910,-0.07821268,0.49507440,266.94916000,114217554
66120594,31.07865400,3.14077000,0.13995820,-0.20997812,0.53892446,287.70258000,66120594
87020178,338.58159400,0.22157600,0.14836055,0.18919558,0.54349005,248.27745000,87020178
97947752,341.06496400,-0.39469900,0.02247676,0.08722614,0.54953516,296.96216000,97947752
99363665,341.20991500,0.32440900,0.07849423,0.11199694,0.49755780,210.70642000,99363665
98217910,341.34936800,0.92156500,-0.00888097,-0.19299700,0.44522786,185.73805000,98217910
131513649,352.04653500,-1.87891700,0.18587150,0.00772190,0.45636350,269.41040000,131513649
207669583,324.66310600,-1.96834400,0.10036697,-0.35237531,0.24333274,242.53226000,207669583
131331848,38.45937000,-4.08710500,0.07066291,-0.17929526,0.35382068,214.48784000,131331848
237620821,24.76125300,-1.55324600,0.06398171,-0.12004912,0.57041550,313.37630000,237620821
312911941,39.94330100,-5.38203300,0.04469729,0.20535756,0.44128054,274.98010000,312911941
118925453,37.22340900,-5.94235900,-0.20330790,-0.10142351,0.29980220,212.70460000,118925453
209224858,324.76188100,-1.14230600,-0.00418461,0.02378920,0.49658540,219.65350000,209224858
311390147,39.59877300,-3.80316000,-0.08541942,-0.04377713,0.32212220,261.80230000,311390147
209572310,325.64177600,-1.15530500,0.03449696,-0.17050985,0.55890130,202.21027000,209572310
196407294,321.17820300,1.39517300,-0.12477354,-0.05107736,0.30541453,190.87665000,196407294
73385853,332.73719000,1.23738600,-0.01574138,0.02754104,0.45469000,182.05373000,73385853
73291700,333.02540700,0.43241100,-0.02143528,-0.05180275,0.54031160,324.37500000,73291700
135009776,352.59075000,-0.24494700,-0.10626261,0.08133539,0.54805565,255.25343000,135009776
83590579,336.70166600,-0.81572500,0.16271754,0.02743725,0.24592438,102.76342000,83590579
149863153,8.95935600,3.87257400,-0.05735683,0.05680712,0.45408487,191.23698000,149863153
282495056,14.92233200,5.08296400,-0.10562194,0.15940947,0.27689475,201.76093000,282495056
70561484,331.74611700,1.36240500,0.03566822,-0.11508679,0.14684844,201.76535000,70561484
136797660,354.29553900,0.85563900,0.02501501,0.07538203,0.51778500,133.95148000,136797660
223571247,22.23872700,-1.76027900,0.00626816,0.14191086,0.52980870,226.94292000,223571247
72679582,333.00279000,-0.68862000,-0.02937074,-0.13460128,0.32564044,213.32848000,72679582
133288866,352.28044300,0.62751800,-0.20947492,0.35411918,0.50125180,297.47684000,133288866
159014019,357.27055800,-2.15446800,0.08012338,0.04523600,0.50602835,206.52205000,159014019
310040733,39.23135800,-1.87142900,-0.05870717,-0.01769954,0.54228410,198.31914000,310040733
268909752,25.85609500,-3.23532000,0.04524136,-0.01661971,0.49306867,150.49214000,268909752
233774931,24.44981300,-1.41724800,0.03500400,0.12004146,0.43833420,210.17940000,233774931
321966204,41.92998200,-0.95138000,0.04804509,-0.01763697,0.62558120,312.22293000,321966204
233771306,24.55867000,-1.34264200,0.08839057,0.04375679,0.62293590,197.02896000,233771306
137209590,353.92315200,-1.73988500,-0.03790983,0.00771482,0.55587340,245.69397000,137209590
78963072,335.32475700,0.79326800,-0.02395390,0.09297161,0.64989954,228.02632000,78963072
82799845,336.04684200,0.42591800,0.02060800,-0.06076111,0.64660424,174.63832000,82799845
94239960,341.23545500,-2.06766100,-0.04602584,-0.38439051,0.67525700,282.50638000,94239960
202764130,6.30733400,-1.28493900,-0.07185679,0.21905351,0.50638050,165.46503000,202764130
351842039,13.08481600,-2.54231600,-0.11692607,0.05775326,0.55786810,294.23877000,351842039
179712582,3.64147400,0.39090900,0.06886683,-0.08498071,0.57092020,246.84068000,179712582
122984069,349.39511700,1.20254500,-0.06535394,-0.02127918,0.58594010,158.86860000,122984069
136395392,353.42796300,0.40300400,0.08230999,-0.00088353,0.51251080,153.95012000,136395392
153997701,9.05508100,0.14526700,0.00432160,-0.00735485,0.25367440,224.22632000,153997701
97958268,341.68520300,-0.56131000,0.16991043,-0.00389990,0.51338214,161.21182000,97958268
309310093,39.17021300,-4.90043500,-0.26677225,0.57636520,0.46249598,248.46873000,309310093
76947510,31.25417400,-2.76825700,-0.04657763,-0.00464627,0.36040172,234.14026000,76947510
78416710,335.14654400,-0.19165400,0.00172053,-0.06455967,0.49770236,247.23969000,78416710
